"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"40",1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1
"41",1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0
"42",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"43",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"44",1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1
"45",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"46",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"47",1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0
"48",1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0
"49",0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0
"50",1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1
"51",1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1
"52",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"53",0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1
"54",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"55",1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"56",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"57",0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1
"58",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"59",1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
"60",1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
"61",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62",0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1
"63",1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1
"64",1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
"65",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
"66",0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0
"67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"68",1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1
"69",1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0
"70",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"71",1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0
"72",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"73",1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1
"74",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"76",1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1
"77",1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
"78",0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1
"79",0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0
"80",0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0
"81",0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"82",1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
"83",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"85",1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1
"86",0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1
"87",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"88",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0
"89",1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1
"90",1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1
"91",1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"92",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0
"93",1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"94",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"95",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"96",0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1
"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0
"99",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"100",0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0
"101",0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
"102",0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1
"103",0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
"104",0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0
"105",0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0
"106",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"107",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1
"108",1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1
"109",1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
"110",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"111",0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"112",1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
"113",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"114",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"115",0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0
"116",0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0
"117",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"118",1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1
"119",1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1
"120",1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0
"121",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"122",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"123",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"124",0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0
"125",1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0
"126",1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
"127",1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1
"128",1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1
"129",0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0
"130",0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0
"131",1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0
"132",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
"133",0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"135",1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
"136",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"137",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
"138",1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0
"139",0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0
"140",0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1
"141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"143",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0
"145",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"147",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"148",0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"149",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"151",0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0
"152",1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0
"153",0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1
"154",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"155",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"156",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
"157",1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1
"158",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"161",1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0
"162",0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1
"163",1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"164",1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
"165",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
"166",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"167",1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1
"168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0
"170",1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
"171",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"172",1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1
"173",1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1
"174",0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0
"175",0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0
"176",0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1
"177",1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"178",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"179",1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
"180",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"181",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"182",1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"183",1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0
"184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1
"186",0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1
"187",1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1
"188",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
"189",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
"190",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"191",0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1
"192",1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0
"193",0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0
"194",1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1
"195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"196",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"197",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"198",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
"199",1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0
"200",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"201",1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0
"202",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"203",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"204",0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0
"205",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"206",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"207",0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
"208",0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1
"209",0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0
"210",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"211",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
"212",0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0
"213",0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1
"214",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"216",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"217",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
"218",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"219",1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"220",0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0
"221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0
"223",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"224",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"225",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"226",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"227",0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0
"228",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"229",1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1
"230",0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0
"231",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"233",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"234",1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"235",0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0
"236",0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
"237",1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1
"238",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"239",1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"240",0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1
"241",0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"242",1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
"243",1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
"244",0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"245",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"247",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
"248",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
"249",0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0
"250",1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1
"251",0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1
"252",1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1
"253",1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
"254",0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0
"255",1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1
"256",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
"257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"258",1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0
"259",0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0
"260",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"261",1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
"262",1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
"263",0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
"264",1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
"265",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"266",0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"267",0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0
"268",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"269",0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"271",0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
"272",1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"273",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"274",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"275",1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0
"276",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"278",1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1
"279",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"280",1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1
"281",1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
"282",0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1
"283",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"284",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1
"285",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"286",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"287",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"288",1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
"289",0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0
"290",1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1
"291",0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0
"292",1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"293",0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0
"294",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"295",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"296",1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0
"297",1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1
"298",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"299",1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
"300",0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
"301",1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"302",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
"303",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"304",0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"305",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
"306",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0
"307",0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1
"308",1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"309",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"310",1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1
"311",0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"312",0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1
"313",0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0
"314",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"315",1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0
"316",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"317",1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0
"318",0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1
"319",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"320",1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"321",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"322",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
